,№,text,target
10,11,"Доктор, у меня сильно выпадают волосы.  - Ето потому что Вы нервничаете.  -  Может  быть,  но  это  как  раз потому, что у меня выпадают волосы!",0
11,12,"-  Не  забывай,  сынок,  мы  живем  на этой земле, чтобы
трудиться.  Кем ты хочешь стать, когда вырастешь?
      - Летчиком.",1
12,13,"Доктор,  почему  Вы сказали чтобы я высунула язык? Я давно это сделала, а Вы на него даже не смотрите?  - Так мне в тишине удобнее знакомиться с историей Вашей болезни.",0
13,14,"Вовочка:
 - Мама, иди в кабинет, я уронил большую стремянку.
 - Ну, папа тебе задаст, когда узнает.
 - Папа уже знает, он висит на люстре.",1
14,15,"-  Боюсь  что  с  этого  дня  Вы  должны бросить пить, курить, встречаться с женщинами.  - Но ведь я мужчина, доктор.  - Можете продолжать бриться.",0
15,16,"- Почему ты плачешь, Вовочка?
 -  Мама  сказала папе, что он слон. Папа ответил маме, что она
курица.
 - Ну и что?
 - А кто же тогда я?!",1
16,17,"Ваша  болезнь пройдет, - сказал врач, - только Вам надо каждый вечер принимать ванну и сразу - стопку коньяка.  Через несколько дней больной обратился к врачу:  - С коньяком все нормально, а вот ванну мне не удается принять.",0
17,18,"- Папа, почему, если дунуть на пламя свечки, то она гаснет?
 -  Гм... потому... м-м. Да-а... Потому... не дуй, дурак, вот и
не гаснет.",1
18,19,Женщина-врач  с  простуженным  горлом  тихо  говорит вошедшему пациенту:  - Раздевайтесь...  - А Вы? - тихо спрашивает пациент.,0
19,20,"Отец говорит Вовочке:
 -  Я вчера нашел на улице 200 т.рублей и отнес их в милицию. А
что бы сделал на моем месте ты?
 - То же, что и ты. Соврал.",1
20,21,Врач слушает пациента:  -  Дышите! Не дышите! Дышите! Не дышите! Не дышите! Не дышите! Не дышите!  Не дышите!... Выносите! Следующий!,0
21,22,"На урок зоологии учительница принесла арбуз.
 - Что это такое, дети?
 - Это же арбуз, Марь Иванна! - выкрикивает Вовочка.
 -  Нет, это мичуринское яблоко. - с ехидной улыбкой произносит
учительница.
 На следыющей день учительница приносит дыню.
 - Дети! Что это?
 - Дыня
 - Неправильно! Это мичуринская слива.
 На  третий  день  Вовочка  приносит  полный  портфель раков и,
высыпав на стол учительнице, спрашивает:
 - Марь Иванна, а это что такое?
 - Как что? Конечно же раки!
 - Нет, Марь Иванна, неправильно! Это мичуринские ТАРАКАНЫ!",1
22,23,Пациент спрашивает врача:  Что это за диагноз Вы мне поставили: Х.Е.З?  - Хрен его знает.,0
23,24,"Урок пения в школе. Учительница вызвала Вовочку:
 - Каких ты знаешь композиторов?
 А  Вовочка  не  учил.  Стоит и смотрит на соседа по парте. Тот
взял книгу, стукнул по парте.
 - Бах, - сказал Вовочка.
 - Правильно. Кто еще?
Друг вырвал из тетради листок листок.
 - Лист.
 - Хорошо, еще.
 - Членников.
 - Не Членников, а Хренников. А ты, Петров, убери подсказку.",1
24,25,"- Доктор, меня все игнорируют!  - Следуюшии!",0
25,26,"Мать ругает маленького Вову:
 -  Посмотри  на свои грязные руки! Мерзость! Быстро оближи!...
Быстро!",1
26,27,"- Доктор, у меня склероз!  - И давно это у Вас?  - Что давно, доктор?",0
27,28,"- Вовочка, за что у тебя двойка по физкультуре?
 - Учитель сказал: ""Видишь, стоит козел?"" Обложи его матами"".
 - Ну и что?
 - Я ответил: ""Николай Петрович, вижу вас хорошо. Мать вашу так
и растак!""",1
28,29,"- Алло, поликлиника? Могу я записаться к врачу?  - Можете, но у нас очередь на 6 месяцев.  - А откуда больные знают чем они будут болеть через 6 месяцев?",0
29,30,"Учительница сказала на уроке:
 -  А  сегодня  мы  будем работать по-новому. То я вам задавала
вопросы, а тепери вопросы будете задавать вы.  Будете  называть
первую  и  последнюю  буквы  слова.  И по тому, какое это будет
слово, я буду оценивать ход ваших мыслей. Итак начнем  с  тебя,
Катя.
 - П и Н, - сказала Катя.
 Учительница подумала и сказала:
 - Не знаю.
 - Пушкин
 -  Молодец,  девочка. Мне нравиться ход твоих мыслей. А теперь
ты Сережа.
 - Л и В.
  Учительница призналась, что не может догадаться.
 - Лермонтов.
 -  Молодец.  Можно и Ломоносов. Мне нравится ход твоих мыслей.
Ну а ты, Вовочка, что-нибудь придумал?
 - Х и И краткое
 -   Бесстыдник   и   хулиган,   -  покраснев,  гневно  сказала
учительница. - Вон из  класса!  И  без  родителей  не  приходи.
 Проходя мимо учительского стола, Вовочко сказал:
 -  Вообще-то  это Хемингуэй. Но мне нравится ход ваших мыслей,
Элла Ивановна.",1
30,31,"- Извините что заставил Вас так долго ждать.  - Ничего, ничего, только жаль что Вы не застали мою болезнь на более ранней стадии.",0
31,32,"Сидят Вовочка с Машенькой на уроке и балаболят. Машенька:
  - Вот горе у меня, залетела, а от кого - не знаю!
Вовочка:
  - Это фигня. Вот я триппер подхватил, а где - не пойму.
Учительница:
 -  Прекратите  болтать на уроке! Вовочка, сколько будет шестью
шесть?  Вовочка:
  - Тридцать шесть! Мне бы ваши заботы, Марья Ивановна!",1
32,33,"- Почему Вы отказываетесь сделать привику от оспы?  - После нее умер мой дедушка.  - От оспы?  - Нет, упал с 7 этажа.",0
33,34,"Пришел Вовочка в школу, а учительница его и спрашивает:
  - Где ты был вчера?
  - У меня дедушка вчера умер.
  - Инфаркт что-ли?
  - Да нет, у нас вчера в доме пожар был.
  - Так он сгорел?
  - Нет.
  - В дыму задохнулся?
  - Нет, он как пожар начался в окно выпрыгнул.
  - А-a, так он разбился?
  - Нет, пожарные тент натянули.
  - Так в чем дело?
  - Тент под ним спружинил и его обратно в окно вкинуло.
  - Ну и тогда он уже сгорел, задохнулся?
  - Нет, он опять выпрыгнул и опять в окно обратно попал.
  - Ладно Вовочка, хватит, что с дедушкой стало?
  - Да пристрелили его, надоел он всем.",1
34,35,"- Доктор, у меня сильный кашель.  - А сколько Вам лет?  - 70.  - А в 40 Вы кашляли?  - Боже сохрани!  - А в 50?  - Тоже нет.  - А в 60?  - Нееет.  - Так когда же Вам кашлять если не сейчас ???",0
35,36,"Вовочка стоит во дворе и кричит:
  - Наташа!
Из окна высовывается заспаный отец Наташи:
  - Она уже спать легла! Может, я чем помогу?
 - Нет, мне Наташа нужна как женщина!  Через пять минут во двор
вылетает Наташа - в мини-юбке и полупрозрачной блузке.
  - Знаешь, Наташа. - Говорит ей Вовочка,
  - Мой мячик в женский туалет закатился...",1
36,37,- Мне очень не нравится Ваш кашель.  - Не могу ничего поделать - другого нету.,0
37,38,"Вовочка  выходит из школы, там его Маша встречает и просит
поднести портфель до дома, он говорит хорошо, дошли они до дома
Маша ему говорит:
     - Может быть пойдем чай попьем?
     - Сейчас, я только быстренько в аптеку сбегаю.
     - ?
     - Куплю что нибудь к чаю.",1
38,39,"- Доктор я постоянно разговариваю сам с собой.  - Вы мешаете домашним?  - Нет я живу один.  - Так и разговаривайте себе на здоровье.  - Да, но я такой зануда....",0
39,40,"-  Ваш  сын  вторую  неделю настойчиво приглашает меня в
ресторан.
     - А это вы правильно делаете, что сразу не соглашаетесь.",1
40,41,"- Как у Вас с аппетитом?  - То есть, то нет его.  - А когда его нет?  - Ну, когда плотно поем.",0
41,42,"Директор приводит в класс новую учительницу:
     -  Дети,  это  ваша  новая  учительница.  Надеюсь, вам она
понравится.
     Вовочка:
     - Да, фигурка ничего.
     Директор (гордо):
     - Сам выбирал!",1
42,43,"- Скажите, Вы курите?  - Нет.  - Жаль, а то бы я Вам посоветовал бросить и Вам бы полегчало.",0
43,44,"P.S:
     Приходит Вовочка домой, и кричит:
     - МАМА ! МАМА ! Я ПЯТЕРКУ ПОЛУЧИЛ !!!
     А мама ему и говорит:
     -  Тише  Вовочка  !  Тише  ! Горе у нас в семье .... Брата
твоего
     Сашу арестовали... Он бомбу в царя кинул !",1
44,45,Доктор пациентке:  Вы полностью излечитесь если перестанете играть на пианино.  После  ухода  медсестра спрашивает: Доктор а какая связь между пианино и ее болезнью?  - Она живет этажом выше?,0
45,46,"Вовочка пригласил Танечку к себе домой. Купил торт, цветы,
бутылку коньяка и  сигареты,  выставил  все  на  стол  и  ждет.
Проходит час. Вовочка думает:
     ""Танечка  из хорошей семьи, пить не будет"". Убрал бутылку.
Проходит еще час. Вовочка думает: ""Танечка  из  хорошей  семьи,
она  не  курит"".   Убрал  сигареты.  Тут звонок в дверь. Входит
Танечка. Вовочка спрашивает:
     - А ты чего в школьном платье пришла?
     - Так ведь завтра в школу...",1
46,47,- Вот Вам снотворное на 6 дней.  - Но я не хочу спать так долго.,0
47,48,"-мам, а мам можно я надену лифчик?
  -Нельзя!
  -Мам, но мне ведь уже 15 лет.
  -Отстань Вова - вечно ты со своими дурацкими глупостями!",1
48,49,- Вам следует спать на левом боку.  - Это невозможно! Мой муж говорит во сне а я не слышу левым ухом.,0
49,50,"После просмотра партиотического фильма учитель спрашивает у детей,
   кому кто понравился. Одному подвиг солдата, другом - как санитарка
   раненего спасла. А Вовочка говорит:
   - А мне больше всего понравился наркоман.
   - Какой такой наркоман. Там не было наркоманов.
   - Был, он все время затягивался и говорил,
      ""Хороший у вас план товарищ Жуков""",1
50,51,Женщина заглядывает в кабинет:  - Я не оставила у Вас бюстгалтер? Нет? Значит у окулиста.,0
51,52,"Женился папа Вовочки 2й раз и спрашивает у сына:
    -Ну как тебе твоя новая мама?
Вовочка отвечает:
    -Папа, тебя жестоко обманули, не такая она уж и новая.",1
52,53,- Помогло вам лекарсто что я выписал в прошлый раз?  -  Очень  помогло.  Дядя  выпил  его  по ошибке и оставил меня единственным наследником.,0
53,54,"На уроке училка диктует предложение:
В углу скребет мышь.
Вовочка спрашивает:
-Марь Иванна , а кто такой ""скр""?",1
54,55,"-  Доктор  мне  снятся  сны  на  английском языке, а я не знаю английского.  - Что Вам посоветовать? Выучите английский.  Через месяц пациент появляется со сцастливым выражение, лица.  - Ну что выучили английский?  - Нет, но теперь я сплю с переводчицей.",0
55,56,"Комната  в общежитии. Родители решили потрахаться. Говорят Вовочке:
   - Вовочка, иди посмотри в окно, расскажи, что на улице...
   Вовочка пошел к окну:
   - Вот Миша на велосипеде едет, вот Маша в песочнице пирожки лепит.
   Вот Таня в соседнем доме в окно смотрит. Наверное, тоже родители
трахаются",1
56,57,"- Доктор, какая болезнь самая лучшая?  - Чесотка: почесался - и еще хочется.  - А какая самая худшая?  - Геморрой. Ни самому посмотреть, ни другим показать",0
57,58,"Вовочка в школе написал: ""Маша - Бл$дь""
Приходит учительница и говорит, 3 раза скажи, что Маша не бл$дь и извинись.",1
58,59,"- Доктор, какая разница между пивом и лекарством?  -  Лекарство  сначала  выписывают  а потом пью, а пиво сначала пьют, а выписывают.",0
59,60,"Вовочка: ""Маша не бл$дь?
          Ма-а-а-аша не бл$дь?
          М-а-а-а-аша не бл$-$-$-$-$дь?
          Ну-у-у-у... Ну извини-и-и-и...""",1
