№,text,target
11,"Доктор, у меня сильно выпадают волосы.  - Ето потому что Вы нервничаете.  -  Может  быть,  но  это  как  раз потому, что у меня выпадают волосы!",0
12,"-  Не  забывай,  сынок,  мы  живем  на этой земле, чтобы
трудиться.  Кем ты хочешь стать, когда вырастешь?
      - Летчиком.",1
13,"Доктор,  почему  Вы сказали чтобы я высунула язык? Я давно это сделала, а Вы на него даже не смотрите?  - Так мне в тишине удобнее знакомиться с историей Вашей болезни.",0
14,"Вовочка:
 - Мама, иди в кабинет, я уронил большую стремянку.
 - Ну, папа тебе задаст, когда узнает.
 - Папа уже знает, он висит на люстре.",1
15,"-  Боюсь  что  с  этого  дня  Вы  должны бросить пить, курить, встречаться с женщинами.  - Но ведь я мужчина, доктор.  - Можете продолжать бриться.",0
16,"- Почему ты плачешь, Вовочка?
 -  Мама  сказала папе, что он слон. Папа ответил маме, что она
курица.
 - Ну и что?
 - А кто же тогда я?!",1
17,"Ваша  болезнь пройдет, - сказал врач, - только Вам надо каждый вечер принимать ванну и сразу - стопку коньяка.  Через несколько дней больной обратился к врачу:  - С коньяком все нормально, а вот ванну мне не удается принять.",0
18,"- Папа, почему, если дунуть на пламя свечки, то она гаснет?
 -  Гм... потому... м-м. Да-а... Потому... не дуй, дурак, вот и
не гаснет.",1
19,Женщина-врач  с  простуженным  горлом  тихо  говорит вошедшему пациенту:  - Раздевайтесь...  - А Вы? - тихо спрашивает пациент.,0
20,"Отец говорит Вовочке:
 -  Я вчера нашел на улице 200 т.рублей и отнес их в милицию. А
что бы сделал на моем месте ты?
 - То же, что и ты. Соврал.",1
21,Врач слушает пациента:  -  Дышите! Не дышите! Дышите! Не дышите! Не дышите! Не дышите! Не дышите!  Не дышите!... Выносите! Следующий!,0
22,"На урок зоологии учительница принесла арбуз.
 - Что это такое, дети?
 - Это же арбуз, Марь Иванна! - выкрикивает Вовочка.
 -  Нет, это мичуринское яблоко. - с ехидной улыбкой произносит
учительница.
 На следыющей день учительница приносит дыню.
 - Дети! Что это?
 - Дыня
 - Неправильно! Это мичуринская слива.
 На  третий  день  Вовочка  приносит  полный  портфель раков и,
высыпав на стол учительнице, спрашивает:
 - Марь Иванна, а это что такое?
 - Как что? Конечно же раки!
 - Нет, Марь Иванна, неправильно! Это мичуринские ТАРАКАНЫ!",1
23,Пациент спрашивает врача:  Что это за диагноз Вы мне поставили: Х.Е.З?  - Хрен его знает.,0
24,"Урок пения в школе. Учительница вызвала Вовочку:
 - Каких ты знаешь композиторов?
 А  Вовочка  не  учил.  Стоит и смотрит на соседа по парте. Тот
взял книгу, стукнул по парте.
 - Бах, - сказал Вовочка.
 - Правильно. Кто еще?
Друг вырвал из тетради листок листок.
 - Лист.
 - Хорошо, еще.
 - Членников.
 - Не Членников, а Хренников. А ты, Петров, убери подсказку.",1
25,"- Доктор, меня все игнорируют!  - Следуюшии!",0
26,"Мать ругает маленького Вову:
 -  Посмотри  на свои грязные руки! Мерзость! Быстро оближи!...
Быстро!",1
27,"- Доктор, у меня склероз!  - И давно это у Вас?  - Что давно, доктор?",0
28,"- Вовочка, за что у тебя двойка по физкультуре?
 - Учитель сказал: ""Видишь, стоит козел?"" Обложи его матами"".
 - Ну и что?
 - Я ответил: ""Николай Петрович, вижу вас хорошо. Мать вашу так
и растак!""",1
29,"- Алло, поликлиника? Могу я записаться к врачу?  - Можете, но у нас очередь на 6 месяцев.  - А откуда больные знают чем они будут болеть через 6 месяцев?",0
30,"Учительница сказала на уроке:
 -  А  сегодня  мы  будем работать по-новому. То я вам задавала
вопросы, а тепери вопросы будете задавать вы.  Будете  называть
первую  и  последнюю  буквы  слова.  И по тому, какое это будет
слово, я буду оценивать ход ваших мыслей. Итак начнем  с  тебя,
Катя.
 - П и Н, - сказала Катя.
 Учительница подумала и сказала:
 - Не знаю.
 - Пушкин
 -  Молодец,  девочка. Мне нравиться ход твоих мыслей. А теперь
ты Сережа.
 - Л и В.
  Учительница призналась, что не может догадаться.
 - Лермонтов.
 -  Молодец.  Можно и Ломоносов. Мне нравится ход твоих мыслей.
Ну а ты, Вовочка, что-нибудь придумал?
 - Х и И краткое
 -   Бесстыдник   и   хулиган,   -  покраснев,  гневно  сказала
учительница. - Вон из  класса!  И  без  родителей  не  приходи.
 Проходя мимо учительского стола, Вовочко сказал:
 -  Вообще-то  это Хемингуэй. Но мне нравится ход ваших мыслей,
Элла Ивановна.",1
31,"- Извините что заставил Вас так долго ждать.  - Ничего, ничего, только жаль что Вы не застали мою болезнь на более ранней стадии.",0
32,"Сидят Вовочка с Машенькой на уроке и балаболят. Машенька:
  - Вот горе у меня, залетела, а от кого - не знаю!
Вовочка:
  - Это фигня. Вот я триппер подхватил, а где - не пойму.
Учительница:
 -  Прекратите  болтать на уроке! Вовочка, сколько будет шестью
шесть?  Вовочка:
  - Тридцать шесть! Мне бы ваши заботы, Марья Ивановна!",1
33,"- Почему Вы отказываетесь сделать привику от оспы?  - После нее умер мой дедушка.  - От оспы?  - Нет, упал с 7 этажа.",0
34,"Пришел Вовочка в школу, а учительница его и спрашивает:
  - Где ты был вчера?
  - У меня дедушка вчера умер.
  - Инфаркт что-ли?
  - Да нет, у нас вчера в доме пожар был.
  - Так он сгорел?
  - Нет.
  - В дыму задохнулся?
  - Нет, он как пожар начался в окно выпрыгнул.
  - А-a, так он разбился?
  - Нет, пожарные тент натянули.
  - Так в чем дело?
  - Тент под ним спружинил и его обратно в окно вкинуло.
  - Ну и тогда он уже сгорел, задохнулся?
  - Нет, он опять выпрыгнул и опять в окно обратно попал.
  - Ладно Вовочка, хватит, что с дедушкой стало?
  - Да пристрелили его, надоел он всем.",1
35,"- Доктор, у меня сильный кашель.  - А сколько Вам лет?  - 70.  - А в 40 Вы кашляли?  - Боже сохрани!  - А в 50?  - Тоже нет.  - А в 60?  - Нееет.  - Так когда же Вам кашлять если не сейчас ???",0
36,"Вовочка стоит во дворе и кричит:
  - Наташа!
Из окна высовывается заспаный отец Наташи:
  - Она уже спать легла! Может, я чем помогу?
 - Нет, мне Наташа нужна как женщина!  Через пять минут во двор
вылетает Наташа - в мини-юбке и полупрозрачной блузке.
  - Знаешь, Наташа. - Говорит ей Вовочка,
  - Мой мячик в женский туалет закатился...",1
37,- Мне очень не нравится Ваш кашель.  - Не могу ничего поделать - другого нету.,0
38,"Вовочка  выходит из школы, там его Маша встречает и просит
поднести портфель до дома, он говорит хорошо, дошли они до дома
Маша ему говорит:
     - Может быть пойдем чай попьем?
     - Сейчас, я только быстренько в аптеку сбегаю.
     - ?
     - Куплю что нибудь к чаю.",1
39,"- Доктор я постоянно разговариваю сам с собой.  - Вы мешаете домашним?  - Нет я живу один.  - Так и разговаривайте себе на здоровье.  - Да, но я такой зануда....",0
40,"-  Ваш  сын  вторую  неделю настойчиво приглашает меня в
ресторан.
     - А это вы правильно делаете, что сразу не соглашаетесь.",1
