№,text,target
11,"Доктор, у меня сильно выпадают волосы.  - Ето потому что Вы нервничаете.  -  Может  быть,  но  это  как  раз потому, что у меня выпадают волосы!",0
12,"-  Не  забывай,  сынок,  мы  живем  на этой земле, чтобы
трудиться.  Кем ты хочешь стать, когда вырастешь?
      - Летчиком.",1
13,"Доктор,  почему  Вы сказали чтобы я высунула язык? Я давно это сделала, а Вы на него даже не смотрите?  - Так мне в тишине удобнее знакомиться с историей Вашей болезни.",0
14,"Вовочка:
 - Мама, иди в кабинет, я уронил большую стремянку.
 - Ну, папа тебе задаст, когда узнает.
 - Папа уже знает, он висит на люстре.",1
15,"-  Боюсь  что  с  этого  дня  Вы  должны бросить пить, курить, встречаться с женщинами.  - Но ведь я мужчина, доктор.  - Можете продолжать бриться.",0
16,"- Почему ты плачешь, Вовочка?
 -  Мама  сказала папе, что он слон. Папа ответил маме, что она
курица.
 - Ну и что?
 - А кто же тогда я?!",1
17,"Ваша  болезнь пройдет, - сказал врач, - только Вам надо каждый вечер принимать ванну и сразу - стопку коньяка.  Через несколько дней больной обратился к врачу:  - С коньяком все нормально, а вот ванну мне не удается принять.",0
18,"- Папа, почему, если дунуть на пламя свечки, то она гаснет?
 -  Гм... потому... м-м. Да-а... Потому... не дуй, дурак, вот и
не гаснет.",1
19,Женщина-врач  с  простуженным  горлом  тихо  говорит вошедшему пациенту:  - Раздевайтесь...  - А Вы? - тихо спрашивает пациент.,0
20,"Отец говорит Вовочке:
 -  Я вчера нашел на улице 200 т.рублей и отнес их в милицию. А
что бы сделал на моем месте ты?
 - То же, что и ты. Соврал.",1
21,Врач слушает пациента:  -  Дышите! Не дышите! Дышите! Не дышите! Не дышите! Не дышите! Не дышите!  Не дышите!... Выносите! Следующий!,0
22,"На урок зоологии учительница принесла арбуз.
 - Что это такое, дети?
 - Это же арбуз, Марь Иванна! - выкрикивает Вовочка.
 -  Нет, это мичуринское яблоко. - с ехидной улыбкой произносит
учительница.
 На следыющей день учительница приносит дыню.
 - Дети! Что это?
 - Дыня
 - Неправильно! Это мичуринская слива.
 На  третий  день  Вовочка  приносит  полный  портфель раков и,
высыпав на стол учительнице, спрашивает:
 - Марь Иванна, а это что такое?
 - Как что? Конечно же раки!
 - Нет, Марь Иванна, неправильно! Это мичуринские ТАРАКАНЫ!",1
23,Пациент спрашивает врача:  Что это за диагноз Вы мне поставили: Х.Е.З?  - Хрен его знает.,0
24,"Урок пения в школе. Учительница вызвала Вовочку:
 - Каких ты знаешь композиторов?
 А  Вовочка  не  учил.  Стоит и смотрит на соседа по парте. Тот
взял книгу, стукнул по парте.
 - Бах, - сказал Вовочка.
 - Правильно. Кто еще?
Друг вырвал из тетради листок листок.
 - Лист.
 - Хорошо, еще.
 - Членников.
 - Не Членников, а Хренников. А ты, Петров, убери подсказку.",1
25,"- Доктор, меня все игнорируют!  - Следуюшии!",0
26,"Мать ругает маленького Вову:
 -  Посмотри  на свои грязные руки! Мерзость! Быстро оближи!...
Быстро!",1
27,"- Доктор, у меня склероз!  - И давно это у Вас?  - Что давно, доктор?",0
28,"- Вовочка, за что у тебя двойка по физкультуре?
 - Учитель сказал: ""Видишь, стоит козел?"" Обложи его матами"".
 - Ну и что?
 - Я ответил: ""Николай Петрович, вижу вас хорошо. Мать вашу так
и растак!""",1
29,"- Алло, поликлиника? Могу я записаться к врачу?  - Можете, но у нас очередь на 6 месяцев.  - А откуда больные знают чем они будут болеть через 6 месяцев?",0
30,"Учительница сказала на уроке:
 -  А  сегодня  мы  будем работать по-новому. То я вам задавала
вопросы, а тепери вопросы будете задавать вы.  Будете  называть
первую  и  последнюю  буквы  слова.  И по тому, какое это будет
слово, я буду оценивать ход ваших мыслей. Итак начнем  с  тебя,
Катя.
 - П и Н, - сказала Катя.
 Учительница подумала и сказала:
 - Не знаю.
 - Пушкин
 -  Молодец,  девочка. Мне нравиться ход твоих мыслей. А теперь
ты Сережа.
 - Л и В.
  Учительница призналась, что не может догадаться.
 - Лермонтов.
 -  Молодец.  Можно и Ломоносов. Мне нравится ход твоих мыслей.
Ну а ты, Вовочка, что-нибудь придумал?
 - Х и И краткое
 -   Бесстыдник   и   хулиган,   -  покраснев,  гневно  сказала
учительница. - Вон из  класса!  И  без  родителей  не  приходи.
 Проходя мимо учительского стола, Вовочко сказал:
 -  Вообще-то  это Хемингуэй. Но мне нравится ход ваших мыслей,
Элла Ивановна.",1
31,"- Извините что заставил Вас так долго ждать.  - Ничего, ничего, только жаль что Вы не застали мою болезнь на более ранней стадии.",0
32,"Сидят Вовочка с Машенькой на уроке и балаболят. Машенька:
  - Вот горе у меня, залетела, а от кого - не знаю!
Вовочка:
  - Это фигня. Вот я триппер подхватил, а где - не пойму.
Учительница:
 -  Прекратите  болтать на уроке! Вовочка, сколько будет шестью
шесть?  Вовочка:
  - Тридцать шесть! Мне бы ваши заботы, Марья Ивановна!",1
33,"- Почему Вы отказываетесь сделать привику от оспы?  - После нее умер мой дедушка.  - От оспы?  - Нет, упал с 7 этажа.",0
34,"Пришел Вовочка в школу, а учительница его и спрашивает:
  - Где ты был вчера?
  - У меня дедушка вчера умер.
  - Инфаркт что-ли?
  - Да нет, у нас вчера в доме пожар был.
  - Так он сгорел?
  - Нет.
  - В дыму задохнулся?
  - Нет, он как пожар начался в окно выпрыгнул.
  - А-a, так он разбился?
  - Нет, пожарные тент натянули.
  - Так в чем дело?
  - Тент под ним спружинил и его обратно в окно вкинуло.
  - Ну и тогда он уже сгорел, задохнулся?
  - Нет, он опять выпрыгнул и опять в окно обратно попал.
  - Ладно Вовочка, хватит, что с дедушкой стало?
  - Да пристрелили его, надоел он всем.",1
35,"- Доктор, у меня сильный кашель.  - А сколько Вам лет?  - 70.  - А в 40 Вы кашляли?  - Боже сохрани!  - А в 50?  - Тоже нет.  - А в 60?  - Нееет.  - Так когда же Вам кашлять если не сейчас ???",0
36,"Вовочка стоит во дворе и кричит:
  - Наташа!
Из окна высовывается заспаный отец Наташи:
  - Она уже спать легла! Может, я чем помогу?
 - Нет, мне Наташа нужна как женщина!  Через пять минут во двор
вылетает Наташа - в мини-юбке и полупрозрачной блузке.
  - Знаешь, Наташа. - Говорит ей Вовочка,
  - Мой мячик в женский туалет закатился...",1
37,- Мне очень не нравится Ваш кашель.  - Не могу ничего поделать - другого нету.,0
38,"Вовочка  выходит из школы, там его Маша встречает и просит
поднести портфель до дома, он говорит хорошо, дошли они до дома
Маша ему говорит:
     - Может быть пойдем чай попьем?
     - Сейчас, я только быстренько в аптеку сбегаю.
     - ?
     - Куплю что нибудь к чаю.",1
39,"- Доктор я постоянно разговариваю сам с собой.  - Вы мешаете домашним?  - Нет я живу один.  - Так и разговаривайте себе на здоровье.  - Да, но я такой зануда....",0
40,"-  Ваш  сын  вторую  неделю настойчиво приглашает меня в
ресторан.
     - А это вы правильно делаете, что сразу не соглашаетесь.",1
41,"- Как у Вас с аппетитом?  - То есть, то нет его.  - А когда его нет?  - Ну, когда плотно поем.",0
42,"Директор приводит в класс новую учительницу:
     -  Дети,  это  ваша  новая  учительница.  Надеюсь, вам она
понравится.
     Вовочка:
     - Да, фигурка ничего.
     Директор (гордо):
     - Сам выбирал!",1
43,"- Скажите, Вы курите?  - Нет.  - Жаль, а то бы я Вам посоветовал бросить и Вам бы полегчало.",0
44,"P.S:
     Приходит Вовочка домой, и кричит:
     - МАМА ! МАМА ! Я ПЯТЕРКУ ПОЛУЧИЛ !!!
     А мама ему и говорит:
     -  Тише  Вовочка  !  Тише  ! Горе у нас в семье .... Брата
твоего
     Сашу арестовали... Он бомбу в царя кинул !",1
45,Доктор пациентке:  Вы полностью излечитесь если перестанете играть на пианино.  После  ухода  медсестра спрашивает: Доктор а какая связь между пианино и ее болезнью?  - Она живет этажом выше?,0
46,"Вовочка пригласил Танечку к себе домой. Купил торт, цветы,
бутылку коньяка и  сигареты,  выставил  все  на  стол  и  ждет.
Проходит час. Вовочка думает:
     ""Танечка  из хорошей семьи, пить не будет"". Убрал бутылку.
Проходит еще час. Вовочка думает: ""Танечка  из  хорошей  семьи,
она  не  курит"".   Убрал  сигареты.  Тут звонок в дверь. Входит
Танечка. Вовочка спрашивает:
     - А ты чего в школьном платье пришла?
     - Так ведь завтра в школу...",1
47,- Вот Вам снотворное на 6 дней.  - Но я не хочу спать так долго.,0
48,"-мам, а мам можно я надену лифчик?
  -Нельзя!
  -Мам, но мне ведь уже 15 лет.
  -Отстань Вова - вечно ты со своими дурацкими глупостями!",1
49,- Вам следует спать на левом боку.  - Это невозможно! Мой муж говорит во сне а я не слышу левым ухом.,0
50,"После просмотра партиотического фильма учитель спрашивает у детей,
   кому кто понравился. Одному подвиг солдата, другом - как санитарка
   раненего спасла. А Вовочка говорит:
   - А мне больше всего понравился наркоман.
   - Какой такой наркоман. Там не было наркоманов.
   - Был, он все время затягивался и говорил,
      ""Хороший у вас план товарищ Жуков""",1
51,Женщина заглядывает в кабинет:  - Я не оставила у Вас бюстгалтер? Нет? Значит у окулиста.,0
52,"Женился папа Вовочки 2й раз и спрашивает у сына:
    -Ну как тебе твоя новая мама?
Вовочка отвечает:
    -Папа, тебя жестоко обманули, не такая она уж и новая.",1
53,- Помогло вам лекарсто что я выписал в прошлый раз?  -  Очень  помогло.  Дядя  выпил  его  по ошибке и оставил меня единственным наследником.,0
54,"На уроке училка диктует предложение:
В углу скребет мышь.
Вовочка спрашивает:
-Марь Иванна , а кто такой ""скр""?",1
55,"-  Доктор  мне  снятся  сны  на  английском языке, а я не знаю английского.  - Что Вам посоветовать? Выучите английский.  Через месяц пациент появляется со сцастливым выражение, лица.  - Ну что выучили английский?  - Нет, но теперь я сплю с переводчицей.",0
56,"Комната  в общежитии. Родители решили потрахаться. Говорят Вовочке:
   - Вовочка, иди посмотри в окно, расскажи, что на улице...
   Вовочка пошел к окну:
   - Вот Миша на велосипеде едет, вот Маша в песочнице пирожки лепит.
   Вот Таня в соседнем доме в окно смотрит. Наверное, тоже родители
трахаются",1
57,"- Доктор, какая болезнь самая лучшая?  - Чесотка: почесался - и еще хочется.  - А какая самая худшая?  - Геморрой. Ни самому посмотреть, ни другим показать",0
58,"Вовочка в школе написал: ""Маша - Бл$дь""
Приходит учительница и говорит, 3 раза скажи, что Маша не бл$дь и извинись.",1
59,"- Доктор, какая разница между пивом и лекарством?  -  Лекарство  сначала  выписывают  а потом пью, а пиво сначала пьют, а выписывают.",0
60,"Вовочка: ""Маша не бл$дь?
          Ма-а-а-аша не бл$дь?
          М-а-а-а-аша не бл$-$-$-$-$дь?
          Ну-у-у-у... Ну извини-и-и-и...""",1
61,"- Доктор, что делать если хочется работать?  - Лягте полежите и все пройдет.",0
62,"Вовочка спрашивает у мамы:
   - Мама, скажи, а откуда дети берутся?
   - Я же тебе говорила, их приносит аист.
   - Знаю, что аист. Но кто же аиста трахает?..",1
63,"- Доктор, где у человека душа?  -  Точно  не  знаю,  но  где  то  под  мочевым  пузырем. Когда помочишься и на душе легче.",0
64,"В школе учитель(у) спрашивает у детей каких они знают
доисторических животных.
Машенька:я знаю- были мамонты !
(у):правильно,а еще ?
Вовочка: еще были папонты !
(у):а это кто ?
Вовочка:а они мамонтов трахали !!!",1
65,- Доктор отчего лучше умереть: от сифилиса или дизентерии?  - Лучше умереть мужчиной чем засранцем.,0
66,"Папа приводит своего (C)ына в школу устраивать.
    В школе (Д)иректор беседует с мальчиком:
    Д: - Мальчик как тебя зовут?
    Молчание...
    Д: - Мальчик, а сколько тебе лет?
    Молчание...
    Д: - Мальчик, а ты любишь играть в футбол?
    Молчание...
     Директор зоворит отцу, чтобы приводил, когда говорить научит.
     Через год отец приводит сына.
     Д: - Мальчик как тебя зовут?
     С: - Леееееха!
     Д: - А сколько тебе лет?
     C: - Девяять!
     Д: - А ты любишь играть в футбол?
     C: - Люююблююю!!
        Д: - А еще чего любишь?
        C: - Леееееха!
        Д: - Чего-чего?! 8-( )
        С: - Девяяять!",1
67,"- Как Вы спите?  -  Плохо.  Вечером засыпаю рано, утром просыпаюсь поздно, зато после обеда часами ворочаюсь - не могу заснуть.",0
68,"Вовочка пришел домой из школы.
   -Тебя сегодня вызывали ?-спросил отец.
   -Вызывали,-отвечает Вовочка.
   -Ну и как?
   Завтра тебя вызовут.",1
69,"- Доктор, что применять при раскалывающей головной боли?  - Клей.",0
70,"Идет урок биологии в школе.
Училка: - Вовочка, это какая часть тела человека? (показывает на плакате)
Вовочка: - Жопа!
Училка: - Нет такого слова!!! (возмущенно)
Вовочка: - Ну как это?! Жопа есть, а слова нет?!",1
71,"-  Точный  диагноз  я  пока поставить не могу, скорее всего во всем виновата водка.  - Тагда я приду когда Вы протрезвеете.",0
72,"Урок в школе.
Учитель спрашивает:
- Кто сможет доказать эту теорему? Маша, ты знаешь?
(Молчание...)
-Вовочка ты сможешь доказать эту теорему?
(В) - Б@я буду!
(У) - Садись, верю!",1
73,"-  Доктор,  не могу спать по ночам. Еще этот проклятый кот под окном довел меня до ручки...  - Вот Вам прекрасный порошок.  - А как его принимать?  - Это не для Вас. Дайте его коту.",0
74,"Мать уехала в командировку.
    Отец утром встает, хватает своего сынишку, одевает его, пичкает
    завтраком и ведет в садик, там не принимают, он бежит в другой,
    потом еще, еще... Устал, замотался, присел на лавочку, а сынишка стоит
    рядом, в носу ковыряет, и говорит:""Слуш-ка, бать, пока ты меня по
детсадам таскаешь, наши контрольную переходную в 5 класс дописывают""",1
75,- Почему Вы не пьете лекарста?  - Они же противные.  - А Вы пейте лекарства и думайте что это коньяк.  - Лучше уж я буду пить коньяк и думать что пью лекарства.,0
76,"- Куда девается аист после того, как принесет ребенка?
- Обратно в штаны.",1
77,Мать с очень красивой дочерью входят в кабинет.  - Раздевайтесь - говорит врач дочке.  Но это я больна - говорит мать.  - Тогда покажите язык.,0
78,"Маленький мальчик подходит к маме и говорит:
- Мам, а что такое аборт?
Та начинает объяснять, потом спохватившись:
- А где ты это слово услышал?
- Моряки шли и пели: ""А волны бились аборт корабля...",1
79,"- Доктор моя жена говорит во сне.  - И что она говорит?  - Все времея повторяет: ""Нет, Василий, нет""  - Ну это не так страшно.  - Да, но меня зовут Михаил.  - Все равно ничего страшного, пока она говорит ""нет"".",0
80,"(В)Вовочка на уроке послал (МИ)Марь Иванну на х&й. МИ пришла к (Д)директору
вс?
рассказала.
(Д) -Вовочку ко мне СРОЧНО!
Приходит Вовочка.
(Д) -Как ты мог оскорбить учительницу?
(В) нахально так -А у Вас носки ВОНЯЯЮТ...
(Д) 8-(    ) ЧТООООО?!!! Ну-ка отца! В школу! Быстро!
(В) -А он не может, у него партсобранее в облисполкоме...
(Д) смущенно -Вовочка выди-ка на минутку.
Вовочка выходит.
(Д) -Значит делаем так, Марь Иванна, Вы - ид?те на х&й, а я иду стирать
носки.",1
81,"Боксер, страдающий бессоницей на приеме у врача.  Доктор советует: ""Ложась спать, считайте в уме: один, два, три и пока не заснете"".  - Это не для меня, при счете 9 я вскакиваю на ноги.",0
82,"Учительница вызывает Вовочку доказать что треугольник равнобедреный:
Вовочка - Марья Петровна бл% буду равнобедренный!
Учительница - Садись 5 !",1
83,"Пациент жалуется на болезни, медицину которая не может ему помочь.  Врач разводит руками: Нельзя же вечно быть юным.  - Я не хочу вечно юным, я согласен быть вечно старым",0
84,"На уроке :
Марья Ивановна говорит детям :
(МИ) Дети придумайте стишок ,чтобы в нем были слова тиски и молоток!
Вовочка после длительного раздумья тянет руку и говорит :
(В) МарИванна ,а можно вввместо слова молоток поставить слово кувалда?
(МИ) А зачем ?
(В) Чтобы сильней удар был!
(МИ) Ну ставь если хочешь...
(В) Тогда я придумал !!!
(МИ) Рассказывай
(В) Если вас поставить раком ,
     И зажать соски в тиски ,
     А кувалдой двинуть в с#аку ,
     Где окажутся мозги ? :)",1
85,- Как Вы спите?  - Превосходно.  - А кем Вы работаете?  - Ночным сторожем.,0
86,"Дети играют во дворе и разговаривают откуда они появились на свет.
Вовочка: Меня нашли в капусте.
Машенька: А меня аист прин?с.
И.Т.Д.
Маленькая Катя (прыгая на прыгалках): Можно подумать, можно подумать у нас
в доме никто не еб*тся.",1
87,"-   Доктор,   я   так  храплю  по  ночам,  что  просыпаюсь  об собственного храпа. Что посоветуете?  - Спите в другой комнате.",0
88,"В школе училка (У) выясняет, у кого кем родители работают.
        Машенька:
        -- У меня папа инженер, а мама учительница.
        Сережа:
        -- Мой папа -- директор овощной базы, а мама -- домохозяйка.
        Вовочка (В):
        -- А у меня папа -- Шерлок Холмс!
        (У) -- Как это?
        (В) -- Каждый вечер он приходит домой, заходит в туалет и орет
        в унитаз: ""Уатсон! Уа-а-атсон!""",1
89,-  Доктор  правда  по выпуклостям черепа можно узнать характер человека?  - Скорее его жены...,0
90,"- Дети, что значит: ""Я люблю, ты любишь, он любит?"" - спрашивает
     учительница.
     - Я думаю, - отвечает Вовочка, - что это такая ситуация, при
     которой один наверняка будет убит.",1
91,"-  Вам  не  следует пить крепкий кофе. Как выпьете приходите в возбуждение, начинаете нервничать.  -  Вы не знаете доктор как я нервничаю когда мне подают жидкий кофе.",0
92,"-Вовочка,ты знаешь кто такой Чапаев?
-Конечно знаю.
-Ну? Кто?
-Негр ессно..
-Ш8-( ) C чего ты взял?
-Ну он же с белыми воевал.",1
93,"Мужчина приходит к доктору с женой.  -  Доктор,  вот она, ... как ее там зовут... жалуется что я не уделяю ей достаточно внимания.",0
94,"Едет Вовочка с семь?й в машине?
Вовочка:
-Мама,мама смотри речка!!!
-Мама,мама смотри корова!!!
-Мама,мама смотри паровоз!!!
-Папа,папа смотри блондинка!!!!!:",1
95,"- У Вас нет оснований беспокоиться - увидите проживете до 80 лет.  - Но мне уже 80.  - Вот видите, я оказался прав...",0
96,"Решила, значить, пионер-вожатая (ПВ) пригласить к детям кого-нибудь из
воевавших в Великую Отечественную пионеров, для патриотического воспитания
молод?жи. Пригласила старого Вовочку(В). Собрались пионеры, слушают...
  (ПВ)- Расскажите нам, Владимир Дармидонтович о том как вы вовали.
  (В)- Да ч? там! Был на позиции, подносил солдатам снаряды к пушке.
  (ПВ)- Солдаты, конечно, были рады вашей помощи?!
  (В)- Да, они так и говорили: Зер гуд, Вольдемар! Зер гуд!...",1
97,Доктор: Что с Вами?  Пациент (воздевая руки к небу): Как вам это нравится? Учился 6 лет и спрашивает у меня мой диагноз.,0
98,Про маленькую девочку (МД).,1
99,- Моя правая нога не дает мне покою - болит и болит.  - Это возраст.  - Но левой ноге ровно столько же и она не болит.,0
100,"1.Сидит МД за роялем и играет - ля-ля-ля-лю-ля-лю-лю-лю....
Подходит к ней (П)апочка:
П) -Ах ты моя доченька, солнышко мо?, на рояле играешь!!
МД)-(Продолжая играть; БАСОМ) Да вот, ху%рю потихоньку!",1
